well_id,lat,lon,district,taluka,specific_yield,sy_source,village,aquifer_type,well_depth,n_observations,first_obs,last_obs
MH3b5e0fb6b4,19.3069,73.6222,Thane,Murbad,0.02,district_modal,Tokavade (Tokoda),Unconfined,5.0,76,2000-01-15,2023-05-15
MHecd957c533,19.7967,73.095,Thane,Vikramgad,0.02,measured,Suksale,Unconfined,7.0,84,2000-01-15,2023-05-15
MH19b10bfd78,20.65,78.9292,Wardha,Samudrapur,0.02,measured,Ajda,Unconfined,7.8,84,2000-01-15,2023-05-15
MH73e4d0b343,20.5489,78.6942,Wardha,Hinganghat,0.02,measured,Alipur,Unconfined,12.4,84,2000-01-15,2023-05-15
MHa832722f12,20.85,78.5167,Wardha,Wardha,0.02,district_modal,Anji,Unconfined,10.5,77,2000-01-15,2023-01-15
MH6cf5014880,21.2,78.1833,Wardha,Ashti,0.02,measured,Ashti,Unconfined,7.3,83,2000-01-15,2023-01-15
MH675e7ab9ef,20.5717,78.4036,Wardha,Deoli,0.02,measured,Bhidi,Unconfined,10.5,83,2000-01-15,2023-05-15
MHc2f10f7660,20.7333,78.45,Wardha,Wardha,0.02,measured,Dahegaon,Unconfined,16.0,78,2000-01-15,2023-05-15
MH14eda9b7ee,20.7544,78.4853,Wardha,Wardha,0.02,measured,Dahigaon,Unconfined,7.5,83,2000-01-15,2023-01-15
MH877b78d7d9,20.4667,78.7833,Wardha,Hinganghat,0.02,measured,Daroda,Unconfined,6.55,86,2000-01-15,2023-05-15
MHde8618a1f1,20.65,78.4667,Wardha,Deoli,0.02,district_modal,Deoli,Unconfined,13.5,82,2000-01-15,2023-05-15
MH735f08208a,21.2667,78.2333,Wardha,Ashti,0.02,measured,Dhadi,Unconfined,14.0,82,2000-01-15,2023-01-15
MHf28413e309,20.6317,79.0578,Wardha,Samudrapur,0.02,measured,Dhondgaon,Unconfined,10.5,81,2000-01-15,2023-05-15
MH3357b3ffc1,20.6583,79.1167,Wardha,Samudrapur,0.02,measured,Girad,Unconfined,12.0,86,2000-01-15,2023-05-15
